num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1339	2299.894686	59.110739	2.762775	4.674888	9.359991
1341	2301.963176	59.353569	2.828096	4.675612	10.077422
1343	2304.036061	59.011524	2.917175	4.675468	11.160739
1345	2306.107790	59.103122	2.872778	4.674454	8.301237
1347	2308.176946	58.949749	3.075121	4.673094	10.519410
1349	2310.249120	58.304558	3.110403	4.670405	9.282949
1351	2312.318594	58.563789	3.153234	4.669459	9.143738
1353	2314.393457	58.410074	3.222467	4.669935	10.199032
1355	2316.466783	58.433407	3.282555	4.670966	8.482487
1357	2318.539063	58.324373	3.298745	4.672436	9.771618
1359	2320.613966	58.341877	3.392733	4.673094	9.564976
1361	2322.687153	58.095877	3.440169	4.672909	8.836916
1363	2324.758766	58.187457	3.468045	4.673580	9.437611
1365	2326.831982	58.173048	3.595436	4.672956	9.567649
1367	2328.903043	58.170880	3.596029	4.674724	8.971913
1369	2330.972414	57.978551	3.705864	4.675634	9.123155
1371	2333.042495	57.648592	3.724294	4.677726	9.512604
1373	2335.116531	57.623401	3.811183	4.678421	8.648993
1375	2337.188121	57.291085	3.870639	4.678919	8.584058
1377	2339.261559	57.643589	3.939758	4.677851	8.873631
1379	2341.335740	57.175023	3.930868	4.678279	9.560324
1381	2343.409832	57.256734	4.070873	4.676872	8.180790
1383	2345.484909	57.169422	4.114807	4.677336	8.859021
1385	2347.557568	57.181951	4.169042	4.677164	8.669643
1387	2349.631178	57.074775	4.247950	4.676689	9.223800
1389	2351.704855	57.157681	4.366431	4.676062	8.400488
1391	2353.776850	57.046306	4.365396	4.675848	8.575110
1393	2355.848915	56.929753	4.382755	4.676730	9.221600
1395	2357.921037	56.723259	4.408979	4.676417	8.313880
1397	2359.992934	56.726854	4.540368	4.677038	8.521705
1399	2362.064782	56.583976	4.554038	4.676984	8.437235
1401	2364.137253	56.470135	4.603763	-1.605522	8.756492
1403	2366.209084	56.446114	4.660458	4.678044	8.337741
1405	2368.280767	56.326973	4.727437	4.678390	8.795535
1407	2370.352753	56.104706	4.800799	4.678512	8.837322
1409	2372.424590	56.353587	4.847272	4.679490	8.172926
1411	2374.497337	56.071909	4.895650	4.679896	8.753705
1413	2376.569483	55.913261	4.919110	4.680751	8.343276
1415	2378.641908	56.250925	5.038934	4.681080	8.112246
1417	2380.714076	55.805818	5.036479	4.680943	8.329114
1419	2382.787171	55.837776	5.118381	4.681004	8.526562
1421	2384.859757	55.651462	5.180687	4.681535	8.088213
1423	2386.931429	55.569105	5.231500	4.682877	8.290421
1425	2389.005166	55.805485	5.311204	-1.600327	8.324922
1427	2391.077752	55.657349	5.387608	4.684151	7.953850
1429	2393.150387	55.311074	5.402799	4.683518	8.154119
1431	2395.223450	55.300940	5.476176	4.683885	7.857264
1433	2397.295733	55.038674	5.559841	-1.597587	8.079623
1435	2399.368003	55.110206	5.635953	-1.597766	8.083093
1437	2401.440432	55.138110	5.695855	-1.596480	7.908224
1439	2403.514393	54.963445	5.730335	-1.596048	7.946850
1441	2405.585699	55.076106	5.876692	-1.596453	7.801514
1443	2407.656181	54.691704	5.914472	-1.595789	7.824432
1445	2409.727089	54.932657	5.915627	-1.596431	8.030397
1447	2411.798532	55.060996	5.959070	-1.594628	7.964462
1449	2413.869449	54.728743	6.050337	-1.597310	7.608660
1451	2415.939676	54.785470	6.086556	-1.599518	7.928755
1453	2418.010602	54.183692	6.168442	-1.599021	7.649382
1455	2420.082649	54.475052	6.282085	-1.599553	7.800270
1457	2422.154376	54.316823	6.275198	-1.598781	7.653217
1459	2424.227280	53.957612	6.284494	-1.597830	7.834496
1461	2426.299628	54.179272	6.334808	-1.597115	7.735506
1463	2428.373212	53.979981	6.448303	-1.595816	7.446756
1465	2430.445847	53.848851	6.423155	-1.594995	7.466561
1467	2432.518511	53.950103	6.526303	4.688544	7.538014
1469	2434.590392	53.839080	6.541838	-1.594334	7.385434
1471	2436.660870	53.854692	6.602607	-1.592924	7.384291
1473	2438.733042	53.675972	6.630621	-1.592555	7.519819
1475	2440.805068	53.762324	6.724727	-1.591701	7.328821
1477	2442.876977	53.545627	6.795922	-1.590134	7.377658
1479	2444.948939	53.342452	6.841903	-1.591171	7.174123
1481	2447.022321	53.451109	6.978168	-1.590294	7.337604
1483	2449.095873	53.243093	6.945373	-1.589484	7.046425
1485	2451.169252	53.167716	6.991140	-1.590885	7.139202
1487	2453.242022	53.135509	7.049546	-1.590699	7.002303
1489	2455.315906	52.991194	7.102455	-1.590846	7.094309
1491	2457.388415	53.021429	7.147951	-1.589806	7.073920
1493	2459.461996	52.895653	7.299637	-1.588341	6.888272
1495	2461.535337	52.655757	7.294203	-1.589711	6.853014
1497	2463.607533	52.743363	7.350102	-1.588771	6.961433
1499	2465.679670	52.675414	7.390325	-1.588776	6.718040
1501	2467.751624	52.473051	7.476118	-1.588483	7.020324
1503	2469.823773	52.493612	7.484375	-1.588590	6.848717
1505	2471.895913	52.286152	7.583572	-1.588801	6.930482
1507	2473.967355	52.265108	7.580695	-1.588007	6.840744
1509	2476.039683	52.125606	7.654270	-1.586137	6.863865
1511	2478.110139	52.193479	7.761378	-1.587963	6.953593
1513	2480.180589	52.202816	7.789866	-1.588827	6.648224
1515	2482.251762	52.159046	7.876595	-1.588378	6.707021
1517	2484.322736	51.924049	7.863204	-1.589401	6.679574
