num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3561	4419.739870	11.527918	-29.707886	3.016924	6.642117
3565	4423.883260	47.285012	-12.460568	4.192107	5.450683
3567	4425.955454	47.133476	-8.913607	4.348881	3.334510
3569	4428.024134	41.717697	-6.493648	4.581724	3.762831
3571	4430.098533	53.008119	-10.336929	4.242867	3.598626
3573	4432.169637	42.588232	-6.455481	4.576583	4.499586
3575	4434.243921	43.870376	-5.389595	4.567434	4.708154
3577	4436.317542	61.256510	10.501575	4.635026	3.544929
3579	4438.391738	56.032752	-8.992274	4.306822	5.177505
3581	4440.466719	55.045046	-10.048502	4.300126	5.585629
3583	4442.539635	55.592967	-10.141066	4.309046	5.393472
3585	4444.612493	56.711686	-9.960195	4.317308	5.212350
3587	4446.686130	51.294969	-5.369479	4.561197	6.551555
3589	4448.758908	65.615402	11.681287	4.639710	5.871006
3591	4450.831915	66.625041	8.441192	4.643400	5.774086
3593	4452.905822	53.059153	-3.552367	4.579567	6.233002
3595	4454.981441	55.296530	-3.120856	4.589858	6.855475
3597	4457.055433	69.356888	8.618018	4.660235	6.433140
3599	4459.131257	63.091924	-6.084428	4.429645	7.441054
3601	4461.205634	64.536844	-9.281534	4.346895	7.766707
3603	4463.280505	65.770197	-8.983861	4.356701	8.294297
3605	4465.354575	61.353233	-3.924130	4.577927	9.098971
3607	4467.428207	67.843982	-7.401847	4.362859	8.855500
3609	4469.501227	63.596340	-3.523166	4.574888	8.579957
3611	4471.574908	64.004671	-2.376861	4.561099	9.804375
3613	4473.647949	72.985896	-6.182972	4.409415	10.220338
3615	4475.720912	71.677283	-7.912518	4.375269	10.318655
3617	4477.794010	62.840650	-8.996193	4.663031	10.723018
3619	4479.867177	78.612275	10.455283	4.643804	10.957417
3621	4481.939110	76.370933	-6.719342	4.376958	11.351158
3623	4484.011216	66.253610	-8.485569	4.631014	11.487573
3625	4486.083337	79.706783	9.639163	4.648429	11.442229
3627	4488.155710	81.076534	9.806547	4.643448	11.895017
3629	4490.228431	81.642708	10.073597	4.636812	11.992860
3631	4492.301845	78.216135	-3.797293	4.458244	12.494868
3633	4494.375471	78.999167	-7.102091	4.409104	12.907532
3635	4496.449292	80.524651	-6.541726	4.409082	13.941872
3637	4498.523129	80.958570	-3.875854	4.456360	13.768288
3639	4500.596287	81.859123	-3.514393	4.455473	14.239188
3641	4502.669543	83.164786	-6.329032	4.408666	14.694262
3643	4504.742513	76.001355	-6.637250	4.627447	15.028927
3645	4506.815395	84.734003	-3.053963	4.455341	15.184496
3647	4508.889568	82.363211	-0.559099	4.561055	15.086240
3649	4510.963816	87.893710	-5.547347	4.392647	15.617232
3651	4513.038383	84.613516	-0.417081	4.569355	15.709940
3653	4515.112900	89.064226	17.883622	4.590068	15.982829
3655	4517.186999	90.621442	-4.950019	4.403008	16.745044
3657	4519.260445	81.019962	-6.399118	4.644769	17.816047
3659	4521.334093	90.602355	21.670616	4.556983	17.750925
3661	4523.407674	91.303616	-1.877380	4.451158	18.303179
3663	4525.480842	89.422439	0.003715	4.532848	18.782419
3665	4527.553737	93.003095	24.912992	4.535449	18.730330
3667	4529.627432	93.826550	-1.744348	4.447100	18.154186
3669	4531.700206	86.795732	-5.919468	4.631060	19.880650
3671	4533.772572	95.183030	-1.441533	4.448140	19.439205
3673	4535.845218	86.873572	-5.736674	4.629035	19.383371
3675	4537.917520	93.932189	2.827591	4.523231	19.511208
3677	4539.989830	98.674456	-4.046991	4.405701	19.957739
3679	4542.062771	97.073368	-1.882327	4.450709	20.226569
3681	4544.135962	97.338148	-4.997185	4.423958	21.677875
3683	4546.209015	98.030133	-1.877452	4.456633	21.391283
3685	4548.282884	96.361256	-5.567231	4.431978	21.586353
3687	4550.356127	98.032009	-5.212826	4.434036	21.904901
3689	4552.429566	97.935311	0.470042	4.519293	23.042446
3691	4554.502733	101.054488	-0.730182	4.450229	23.072110
3693	4556.575974	93.552057	-4.155893	4.608460	23.166233
3695	4558.649137	104.205506	-3.308721	4.411234	23.300764
3697	4560.722516	94.029995	-11.320886	4.608583	22.818823
