crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.334837	4812	0.000000
281474976710655.000000	5.619233	4813	5848732672.000000
281474976710655.000000	6.109154	4814	5849756160.000000
281474976710655.000000	6.686121	4815	5850791424.000000
281474976710655.000000	6.989967	4816	5851833344.000000
281474976710655.000000	3.466987	4817	5852867584.000000
281474976710655.000000	5.570239	4818	5853909504.000000
281474976710655.000000	7.244956	4819	5854951424.000000
281474976710655.000000	7.447196	4820	5855980032.000000
281474976710655.000000	6.576115	4821	5857020928.000000
281474976710655.000000	6.221630	4822	5858051584.000000
281474976710655.000000	5.914433	4823	5859107840.000000
281474976710655.000000	7.440887	4824	5860135424.000000
281474976710655.000000	8.702979	4825	5861171712.000000
281474976710655.000000	9.229828	4826	5862208512.000000
281474976710655.000000	8.065714	4827	5863243776.000000
281474976710655.000000	6.641419	4828	5864284160.000000
281474976710655.000000	6.096957	4829	5865322496.000000
281474976710655.000000	7.910820	4830	5866360832.000000
281474976710655.000000	8.809503	4831	5867395072.000000
281474976710655.000000	8.043678	4832	5868436480.000000
281474976710655.000000	8.520188	4833	5869471232.000000
281474976710655.000000	9.085069	4834	5870507008.000000
281474976710655.000000	8.964524	4835	5871546368.000000
281474976710655.000000	8.258503	4836	5872580608.000000
281474976710655.000000	8.067234	4837	5873625088.000000
281474976710655.000000	8.840035	4838	5874653696.000000
281474976710655.000000	9.006351	4839	5875700736.000000
281474976710655.000000	8.424139	4840	5876727296.000000
281474976710655.000000	8.785522	4841	5877773312.000000
281474976710655.000000	9.672055	4842	5878807040.000000
281474976710655.000000	9.212783	4843	5879844352.000000
281474976710655.000000	9.800883	4844	5880882176.000000
281474976710655.000000	8.366670	4845	5881916928.000000
281474976710655.000000	9.754367	4846	5882957824.000000
281474976710655.000000	10.110208	4847	5883995648.000000
281474976710655.000000	9.919890	4848	5885025792.000000
281474976710655.000000	9.048595	4849	5886071296.000000
281474976710655.000000	8.824594	4850	5887098880.000000
281474976710655.000000	9.846800	4851	5888143872.000000
281474976710655.000000	13.108352	4852	5889178624.000000
281474976710655.000000	10.073425	4853	5890214912.000000
281474976710655.000000	10.060412	4854	5891252224.000000
281474976710655.000000	9.844369	4855	5892287488.000000
281474976710655.000000	11.362582	4856	5893328384.000000
281474976710655.000000	11.536556	4857	5894364672.000000
281474976710655.000000	10.465674	4858	5895394816.000000
281474976710655.000000	11.428392	4859	5896440320.000000
281474976710655.000000	10.734057	4860	5897467392.000000
281474976710655.000000	10.802811	4861	5898513408.000000
281474976710655.000000	11.228967	4862	5899544576.000000
281474976710655.000000	15.782290	4863	5900584448.000000
281474976710655.000000	12.956170	4864	5901616640.000000
281474976710655.000000	11.749398	4865	5902658048.000000
281474976710655.000000	11.481380	4866	5903692800.000000
281474976710655.000000	12.623575	4867	5904733184.000000
281474976710655.000000	12.278138	4868	5905767424.000000
281474976710655.000000	13.490366	4869	5906804736.000000
281474976710655.000000	15.943349	4870	5907838464.000000
281474976710655.000000	14.095405	4871	5908877824.000000
281474976710655.000000	12.613172	4872	5909912064.000000
281474976710655.000000	13.051832	4873	5910953984.000000
281474976710655.000000	12.950227	4874	5911984128.000000
281474976710655.000000	14.840787	4875	5913028608.000000
281474976710655.000000	13.096675	4876	5914057216.000000
281474976710655.000000	11.374161	4877	5915101184.000000
281474976710655.000000	13.932040	4878	5916130816.000000
281474976710655.000000	12.565963	4879	5917174272.000000
281474976710655.000000	17.055395	4880	5918206464.000000
281474976710655.000000	13.251503	4881	5919243264.000000
281474976710655.000000	14.457227	4882	5920281600.000000
281474976710655.000000	13.553041	4883	5921315840.000000
281474976710655.000000	12.451245	4884	5922354688.000000
281474976710655.000000	14.715907	4885	5923391488.000000
281474976710655.000000	14.478106	4886	5924425216.000000
281474976710655.000000	15.251993	4887	5925466624.000000
281474976710655.000000	12.769138	4888	5926496768.000000
281474976710655.000000	15.685212	4889	5927542272.000000
281474976710655.000000	12.297912	4890	5928569856.000000
281474976710655.000000	13.851116	4891	5929612288.000000
281474976710655.000000	18.628374	4892	5930646528.000000
281474976710655.000000	16.506235	4893	5931682816.000000
281474976710655.000000	15.243062	4894	5932722176.000000
281474976710655.000000	16.222757	4895	5933754880.000000
281474976710655.000000	15.220097	4896	5934794240.000000
281474976710655.000000	16.100626	4897	5935829504.000000
281474976710655.000000	14.804107	4898	5936866816.000000
281474976710655.000000	14.522501	4899	5937904128.000000
281474976710655.000000	16.644674	4900	5938938368.000000
281474976710655.000000	13.142743	4901	5939978240.000000
281474976710655.000000	15.974849	4902	5941009920.000000
281474976710655.000000	15.725592	4903	5942053376.000000
281474976710655.000000	14.311830	4904	5943081984.000000
281474976710655.000000	15.850554	4905	5944125952.000000
281474976710655.000000	11.741393	4906	5945154048.000000
281474976710655.000000	14.848951	4907	5946199552.000000
281474976710655.000000	15.781412	4908	5947228672.000000
281474976710655.000000	14.044854	4909	5948272128.000000
281474976710655.000000	16.173983	4910	5949301248.000000
281474976710655.000000	15.200559	4911	5950345728.000000
281474976710655.000000	15.388088	4912	5951374848.000000
281474976710655.000000	14.532687	4913	5952417280.000000
281474976710655.000000	20.319370	4914	5953449984.000000
281474976710655.000000	13.941964	4915	5954488832.000000
281474976710655.000000	13.322802	4916	5955524608.000000
281474976710655.000000	14.288017	4917	5956560896.000000
281474976710655.000000	16.743258	4918	5957598720.000000
281474976710655.000000	20.612474	4919	5958632448.000000
281474976710655.000000	16.295675	4920	5959671808.000000
281474976710655.000000	13.367008	4921	5960706048.000000
281474976710655.000000	16.872051	4922	5961743872.000000
281474976710655.000000	18.253592	4923	5962781184.000000
281474976710655.000000	13.467078	4924	5963814400.000000
281474976710655.000000	17.680260	4925	5964856320.000000
281474976710655.000000	16.907024	4926	5965885440.000000
281474976710655.000000	21.682150	4927	5966930432.000000
281474976710655.000000	18.316462	4928	5967958528.000000
281474976710655.000000	24.234833	4929	5969001984.000000
281474976710655.000000	16.328716	4930	5970033664.000000
281474976710655.000000	17.631308	4931	5971072512.000000
281474976710655.000000	14.437341	4932	5972108800.000000
281474976710655.000000	17.499752	4933	5973143552.000000
281474976710655.000000	14.385981	4934	5974182912.000000
281474976710655.000000	18.129347	4935	5975216640.000000
281474976710655.000000	14.273501	4936	5976254976.000000
281474976710655.000000	13.732218	4937	5977289728.000000
281474976710655.000000	21.853743	4938	5978327040.000000
281474976710655.000000	13.985491	4939	5979364864.000000
281474976710655.000000	15.698813	4940	5980398592.000000
