phase	duration	avg. energy	cycles	elapsed time	lifetime (sl)	lifetime (amp_sq)	energy change	coil energy	energy loss	(energy change + energy loss)/coil energy
10	7.5	3.83	124	128.5	-298.6	-301.5	2.034	9.38	0.642	0.2852878465
10	7.5	2.75	126	130.5	-295.7	303.4	-0.3634	7.47	0.502	0.01855421687
10	7.5	2.88	124	128.5	-363	-294	2.04	7.63	0.4	0.3197903014
10	15	18.068	122	126.4	-136.2	-135	15.2	19.2	3.2	0.9583333333
10	15	9.19	122	126.3	-135.1	-136.1	7.72	9.769	1.637	0.9578257754
10	15	7.575	125	130.5	-141.13	-127.38	9.907	8.847	1.376	1.275347575
10	25	0.98	121	126.4	-78.3	-76.6	17.2	19.5	1.931	0.9810769231
10	25	7.26	122	133.4	-104.7	-73.89	14.34	14.41	1.37	1.090215128
10	25	10.32	121	128.5	-77.3	-80.28	16.7	17.78	1.874	1.044656918
20	7.5	6.123	121	126.4	-155.34	-133.84	5.89	6.577	1.077	1.059297552
20	7.5	7.3	126	125.2	-198.2	-161.14	7.88	7.679	1.381	1.206016408
20	7.5	5.225	145	155.6	-161.85	-140.7	4.73	7.573	1.134	0.7743298561
20	15	7.797	123	128.5	-91.09	-91.09	11.41	11.6	1.344	1.099482759
20	15	7.549	121	126.45	-89.4	-83.2	11	11.167	1.327	1.103877496
20	15	10.427	124	128.5	-104.2	-111.19	10.617	13.87	1.879	0.9009372747
20	25	14.5	121	126.5	-86.42	-87.5	18.614	20.96	2.563	1.010353053
20	25	14.25	124	129.3	-85.71	-100.13	20.092	21.236	2.621	1.069551705
20	25	13.58	122	126.4	-78.95	-86.001	21.2	21.023	2.409	1.123008134
30	7.5	5.648	121	126.4	-167.1	-151.76	4.57	5.786	1.001	0.9628413412
30	7.5	6.878	124	134.1	-205.8	-166.7	5.078	6.191	1.265	1.024551769
30	7.5	6.714	121	126.4	-189.9	-168.56	3.52	5.98	1.187	0.7871237458
30	15	8.591	122	126.5	-1222	-110.4	3.811	10.532	1.51	0.50522218
30	15	7.43	121	129.7	-119.3	-96.6	4.2	10.487	1.486	0.5421950987
30	15	10.398	121	126.46	-162.68	-157	8.6	10.316	1.829	1.010953858
30	25	8.614	118	126.7	-136.4	-161.3	14.9	14.59	1.605	1.131254284
30	25	12.4	122	126.5	-132.6	-126.4	11.15	14.6	2.28	0.9198630137
30	25	12.64	126	130.3	-144.88	-136.2	12.196	15.26	2.32	0.9512450852
40	7.5	5.931	126	130.57	-279.4	-244.6	2.64	4.37	1.09	0.8535469108
40	7.5	5.611	119	124.36	-274.19	-267.19	2.46	4.041	0.97	0.848799802
40	7.5	5.65	122	126.4	-248.7	-261.9	1.734	4.123	1.001	0.6633519282
